0	1
Mæg gehyran se ðe wyle be þam halgan mædene Eugenian Philyppus dæhter hu heo ðurh mægðhad mærlice þeah and þurh martyrdom þisne middaneard oferswað	mag gehyran se þe willan be se halig mægden Eugenia Philippus dohtor hu heo þurh mægþhad mærlice þeon and þurh martyrdom þes middangeard oferswiðan
Sum æþelboren þægn wæs Philippus gehaten ðone asende se casere Commodus þe on ðam dagum rixode fram Rome.byrig to ðære byrig ðe is gehaten Alexandria	sum æþelboren þegen wesan Philippus gehatan se asendan se Casere Commodus þe on se dæg ricsian fram Romeburh to se burh þe wesan gehatan Alexandria
And he hine gesette to heahgerefan ofer Alexandrian and Ægyfto lande and het þæt he heolde þa romaniscan gesætnysse	and he he gesettan to heahgerefa ofer Alexandria and Egipte land and hatan þæt he healdan se Romanisc gesetnes
Ðæs ðægn Philippus n æs na gefullod on Gode forþan þe cristendom n æs þa gyt geond eall cuð and seo reþe æhtnyss þa gyt n æs gestylled	þes þegen Philippus ne wesan na gefullian on God forðam þe Cristendom ne wesan þa git geond eal cunnan and se reðe eahtnes þa git ne wesan gestillan
His wif wæs gecyged Claudia be þære he gestrynde twægen suna Auitum and Særgium and ane dohtor Eugenian þe we embe spræcaþ	his wif wesan gecigan Claudia be se he gestrynan twegen sunu Auitus and Særgius and an dohtor Eugenia þe we ymb sprecan
Ða befæste se fæder Philippus to lare þæt heo on woruldwysdome wære getogen æfter greciscre uðwytegunge and lædenre getingnysse	se befæstan se fæder Philippus to lar þæt heo on weoroldwisdom wesan geteon æfter Grecisc uþwitigung and Læden getingness
Eugenia þa þæt æðele mæden wel þeah on wisdome and on uðwytegunge	Eugenia þa se æðele mægden wel þeon on wisdom and on uþwitigung
Þa becom hyre on hand þæs halgan apostoles lar Paules þæs mæran ealles manncynnes lareowes	þa becuman heo on hand se halig apostol lar Paulus se mære eal manncynn lareow
Þa wearð hyre mod mycclum onbryrd þuruh þa halgen lare þeah ðe heo þa gyt hæðen wære	þa weorþan hire mod micel onbryrdan þurh se halig lar þeah þe heo þa git hæðen wesan
Heo bæd þa hyre fæder þæt heo færen moste geond his hames on Alexandiscre scyre	heo biddan þa hire fæder þæt heo feran motan geond his ham on Alexandisc scir
Wolde swa cepan þære cristenra lare forðan þe heo n æfde on ðære byrig nænne geleaffulne mann þe hi læren cuþe forðan Philippus aflygde þa cristenan of Alexandrian ealle on ær	willan swa cepan se cristen lar forðam þe heo ne habban on se burh nan geleafful mann þe heo læran cunnan forðam Philippus afleon se cristen of Alexandria eal on ær
Hwæt þa EVGENIA ardlice færde oð þæt heo becom þær ða cristenan sungen mid mycelre blisse þus mærsigende God	hwæt þa Eugenia arodlice feran oþ þæt heo becuman þær se cristen singan mid micel blis þus mærsian God
Omnes dii gentium demonia dominus autem cælos fecit	Omnes dii gentium demonia dominus autem cælos fecit
Ealle þære hæðenra godas syndon deofla	eal se hæðen god wesan Deofol
and Dryhten soðlice heofonas geworhte	and Dryhten soþlice heofon gewyrcan
Eugenia þa mycclum wearð onbryrd and mid wope gespræc hire twægen cnihtas þære naman wæron Protus et Iacinctus	Eugenia þa micel weorþan onbryrdan and mid wop gesprecan hire twegen cniht se nama wesan Protus et Iacinctus
Þa wæron gelærede on Leden and on grecisc mid Eugenian mid woruldlicra lare and wæron eunuchi þæt synt belisnode and wæron heora hlæfdige holde and getrywe	se wesan gelæran on Læden and on Grecisc mid Eugenia mid weoroldlic lar and wesan eunuchi se wesan belisnian and wesan hira hlæfdige hold and getreowe
Ða nam Eugenia hi on sundorspræce het hi gebroðra and bæd þæt hi hyre fæx forcurfon on wæpmonna wysan and mid wædum gehiwodon swylce heo cniht wære	þa niman Eugenia hi on sundorspræc hatan hi gebroðor and biddan þæt hi hire feax forceorfan on wæpenmann wise and mid wæd gehiwian swilce heo cniht wesan
Wolde ðam cristenan genealecan on wærlicum hiwe þæt heo ne wurde ameldod	willan se cristen genealæcan on werlic hiw þæt heo ne weorþan ameldian
Hi færdon ða þry and heora gefæran forleton oð þæt hi becoman to ðære cristenra wununge þær hi dæges and nihtes heora Drihten heroden	hi feran þa þri and hira gefera forlætan oþ þæt hi becuman to se cristen wunung þær hi dæg and niht hira Dryhten herian
On ðam ylcan dæge com sum bisceop Helenus gehaten haliges lifes mid mycelre meniu anmodlice singende	on se ilca dæg cuman sum bisceop Helenus gehatan halig lifes mid micel menigu anmodlice singan
Uia iustorum recta facta est et iter sanctorum preparata est	Uia iustorum recta facta est et iter Sanctorum preparata est
þæt is þæra rihtwisra wæg is gerihtlæced	se wesan se rihtwis weg wesan gerihtlæcan
and þæra halgena siðfæt is gegearcod	and se halga siþfæt wesan gegearcian
Þes bisceop worhta fæla wundra þuruh God	þes bisceop wyrcan fela wundor þurh God
and him wearð geswutelod on swæfne be þysum	and he weorþan geswutelian on swefen be þes
and eall þæs mædenes mod him wearð ameldod	and eal se mægden mod he weorþan ameldian
Ða gespræc þæt mæden sumne messepreost Eutropius gehaten þæt he hyre ærende abude þam bisceope þysum wordum geornlice	þa gesprecan se mægden sum mæssepreost Eutropius gehatan þæt he hire ærend abeodan se bisceop þes word geornlice
we ðry gebroðra wyllað gecyrran fram þam fulan hæðenscype to hælende Criste	we þri gebroðor willan gecyrran fram se ful hæðenscipe to hælend Crist
and we n ellað nateshwon us næfre totweman	and we ne willan nateshwon we næfre totwæman
Þa þæs on mergen se mæssepreost abead þæs mædenes word þam mæron bisceope Þa het se bisceop hi gelangian mycclum þanciende þam ælmihtigan Gode þæt he wolde him onwreon þæs mædenes wyllan	þa se on merigen se mæssepreost abeodan se mægden word se mære bisceop þa hatan se bisceop heo gelangian micel þancian se eallmihtig God þæt he willan he onwreon se mægden willa
